NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:36:06 2026

Terramodel  Project: mc90.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 2900.000 to End Ch 4420.000. Name:MC90

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
     300,  4120.000,      0.000,         ,         ,   229259.907,  6304892.205, CH 4120.000           ,        ,
     301,  4130.000,      0.000,         ,         ,   229261.210,  6304902.120, CH 4130.000           ,        ,
     302,  4140.000,     -0.000,         ,         ,   229262.512,  6304912.034, CH 4140.000           ,        ,
     303,  4150.000,     -0.000,         ,         ,   229263.814,  6304921.949, CH 4150.000           ,        ,
     304,  4160.000,      0.000,         ,         ,   229265.117,  6304931.864, CH 4160.000           ,        ,
     305,  4170.000,      0.000,         ,         ,   229266.419,  6304941.779, CH 4170.000           ,        ,
     306,  4180.000,     -0.000,         ,         ,   229267.721,  6304951.694, CH 4180.000           ,        ,
     307,  4190.000,     -0.000,         ,         ,   229269.023,  6304961.609, CH 4190.000           ,        ,
     308,  4200.000,      0.000,         ,         ,   229270.326,  6304971.523, CH 4200.000           ,        ,
     309,  4210.000,      0.000,         ,         ,   229271.628,  6304981.438, CH 4210.000           ,        ,
     310,  4220.000,     -0.000,         ,         ,   229272.930,  6304991.353, CH 4220.000           ,        ,
     311,  4223.733,      0.000,         ,         ,   229273.417,  6304995.055, CH 4223.733           ,        ,
     312,  4230.000,      0.000,         ,         ,   229274.237,  6305001.267, CH 4230.000           ,        ,
     313,  4240.000,      0.000,         ,         ,   229275.614,  6305011.172, CH 4240.000           ,        ,
     314,  4250.000,     -0.000,         ,         ,   229277.170,  6305021.050, CH 4250.000           ,        ,
     315,  4260.000,     -0.000,         ,         ,   229279.013,  6305030.878, CH 4260.000           ,        ,
     316,  4270.000,     -0.000,         ,         ,   229281.250,  6305040.624, CH 4270.000           ,        ,
     317,  4273.733,      0.000,         ,         ,   229282.208,  6305044.232, CH 4273.733           ,        ,
     318,  4280.000,     -0.000,         ,         ,   229283.981,  6305050.242, CH 4280.000           ,        ,
     319,  4290.000,     -0.000,         ,         ,   229287.241,  6305059.695, CH 4290.000           ,        ,
     320,  4300.000,      0.000,         ,         ,   229291.020,  6305068.952, CH 4300.000           ,        ,
     321,  4310.000,      0.000,         ,         ,   229295.308,  6305077.984, CH 4310.000           ,        ,
     322,  4320.000,     -0.000,         ,         ,   229300.091,  6305086.765, CH 4320.000           ,        ,
     323,  4330.000,     -0.000,         ,         ,   229305.353,  6305095.267, CH 4330.000           ,        ,
     324,  4340.000,     -0.000,         ,         ,   229311.080,  6305103.463, CH 4340.000           ,        ,
     325,  4350.000,     -0.000,         ,         ,   229317.253,  6305111.328, CH 4350.000           ,        ,
     326,  4354.457,     -0.000,         ,         ,   229320.144,  6305114.721, CH 4354.457           ,        ,
     327,  4360.000,      0.000,         ,         ,   229323.851,  6305118.841, CH 4360.000           ,        ,
     328,  4370.000,      0.000,         ,         ,   229330.811,  6305126.020, CH 4370.000           ,        ,
     329,  4380.000,     -0.000,         ,         ,   229338.041,  6305132.928, CH 4380.000           ,        ,
     330,  4390.000,     -0.000,         ,         ,   229345.457,  6305139.637, CH 4390.000           ,        ,
     331,  4400.000,     -0.000,         ,         ,   229352.979,  6305146.227, CH 4400.000           ,        ,
     332,  4404.457,      0.000,         ,         ,   229356.346,  6305149.146, CH 4404.457           ,        ,
     333,  4410.000,      0.000,         ,         ,   229360.535,  6305152.776, CH 4410.000           ,        ,
     334,  4420.000,      0.000,         ,         ,   229368.093,  6305159.324, CH 4420.000           ,        ,
